"Table. Pregnancy, live-birth, induced-abortion, and fetal-loss rates, by age and race and Hispanic origin of",,,,,,,,,,,,,,,,,
"woman: United States, 1990–2010",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"[Rates are pregnancy outcomes per 1,000 women in specified group, estimated as of April 1 for 1990, 2000, and 2010 and as of",,,,,,,,,,,,,,,,,
July 1 for all other years],,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Race and Hispanic,,,,,,Age of woman,,,,,,,,,,,
origin  and year,,,,,,15-19 years,,,,,,,,,,,
,,,,Under 15,,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,,,,
1996,,,102.8 ,2.7 ,97.0 ,63.4 ,149.0 ,180.5 ,163.2 ,118.4 ,60.6 ,13.5 ,,,,,
1995,,,103.5 ,2.9 ,101.1 ,67.4 ,153.4 ,179.8 ,162.8 ,117.0 ,59.1 ,13.1 ,,,,,
1994,,,106.1 ,3.2 ,106.1 ,71.1 ,159.6 ,184.8 ,166.1 ,116.7 ,58.5 ,12.9 ,,,,,
1993,,,108.8 ,3.2 ,109.4 ,72.7 ,164.1 ,190.4 ,169.8 ,116.6 ,57.7 ,12.4 ,,,,,
1992,,,111.1 ,3.3 ,112.3 ,73.5 ,169.3 ,194.3 ,173.1 ,116.6 ,57.4 ,12.0 ,,,,,
1991,,,112.7 ,3.3 ,116.4 ,76.1 ,172.1 ,196.8 ,174.9 ,116.2 ,56.8 ,11.3 ,,,,,
1990,,,115.8 ,3.4 ,116.8 ,77.1 ,167.7 ,198.5 ,179.0 ,118.8 ,56.9 ,11.4 ,,,,,
Live births:,,,,,,,,,,,,,,,,,
2010,,,64.1 ,0.4 ,34.2 ,17.3 ,58.2 ,90.0 ,108.3 ,96.5 ,45.9 ,10.9 ,,,,,
2009,,,66.2 ,0.5 ,37.9 ,19.6 ,64.0 ,96.2 ,111.5 ,97.5 ,46.1 ,10.8 ,,,,,
2008,,,68.1 ,0.6 ,40.2 ,21.1 ,68.2 ,101.8 ,115.0 ,99.4 ,46.8 ,10.6 ,,,,,
2007,,,69.3 ,0.6 ,41.5 ,21.7 ,71.7 ,105.4 ,118.1 ,100.6 ,47.6 ,10.2 ,,,,,
2006,,,68.6 ,0.6 ,41.1 ,21.6 ,71.2 ,105.5 ,118.0 ,98.9 ,47.5 ,10.0 ,,,,,
2005,,,66.7 ,0.6 ,39.7 ,21.1 ,68.4 ,101.8 ,116.5 ,96.7 ,46.4 ,9.7 ,,,,,
2004,,,66.4 ,0.6 ,40.5 ,21.7 ,68.7 ,102.1 ,119.4 ,94.7 ,46.2 ,9.6 ,,,,,
2003,,,66.1 ,0.6 ,41.1 ,22.2 ,69.6 ,102.3 ,116.7 ,95.7 ,43.9 ,9.3 ,,,,,
2002,,,65.0 ,0.7 ,42.6 ,23.1 ,72.2 ,103.1 ,114.7 ,92.6 ,41.6 ,8.8 ,,,,,
2001,,,65.1 ,0.8 ,45.0 ,24.5 ,75.5 ,105.6 ,113.8 ,91.8 ,40.5 ,8.5 ,,,,,
2000,,,65.9 ,0.9 ,47.7 ,26.9 ,78.1 ,109.7 ,113.5 ,91.2 ,39.7 ,8.4 ,,,,,
1999,,,64.4 ,0.9 ,48.8 ,28.2 ,79.1 ,107.9 ,111.2 ,87.1 ,37.8 ,7.8 ,,,,,
1998,,,64.3 ,1.0 ,50.3 ,29.9 ,80.9 ,108.4 ,110.2 ,85.2 ,36.9 ,7.7 ,,,,,
1997,,,63.6 ,1.1 ,51.3 ,31.4 ,82.1 ,107.3 ,108.3 ,83.0 ,35.7 ,7.4 ,,,,,
1996,,,64.1 ,1.2 ,53.5 ,33.3 ,84.7 ,107.8 ,108.6 ,82.1 ,34.9 ,7.1 ,,,,,
1995,,,64.6 ,1.3 ,56.0 ,35.5 ,87.7 ,107.5 ,108.8 ,81.1 ,34.0 ,6.8 ,,,,,
1994,,,65.9 ,1.4 ,58.2 ,37.2 ,90.2 ,109.2 ,111.0 ,80.4 ,33.4 ,6.6 ,,,,,
1993,,,67.0 ,1.4 ,59.0 ,37.5 ,91.1 ,111.3 ,113.2 ,79.9 ,32.7 ,6.3 ,,,,,
1992,,,68.4 ,1.4 ,60.3 ,37.6 ,93.6 ,113.7 ,115.7 ,79.6 ,32.3 ,6.1 ,,,,,
1991,,,69.3 ,1.4 ,61.8 ,38.6 ,94.0 ,115.3 ,117.2 ,79.2 ,31.9 ,5.7 ,,,,,
1990,,,70.9 ,1.4 ,59.9 ,37.5 ,88.6 ,116.5 ,120.2 ,80.8 ,31.7 ,5.6 ,,,,,
Induced abortions:,,,,,,,,,,,,,,,,,
2010,,,17.7 ,0.5 ,14.7 ,8.4 ,23.6 ,34.3 ,26.0 ,17.2 ,9.6 ,3.5 ,,,,,
2009,,,18.5 ,0.5 ,16.3 ,9.5 ,25.9 ,36.0 ,27.1 ,17.7 ,9.8 ,3.5 ,,,,,
2008,,,19.4 ,0.6 ,17.8 ,10.4 ,28.6 ,38.4 ,28.6 ,18.4 ,10.2 ,3.4 ,,,,,
2007,,,19.4 ,0.6 ,18.2 ,10.8 ,29.6 ,38.4 ,28.8 ,18.2 ,10.1 ,3.4 ,,,,,
2006,,,20.0 ,0.6 ,18.9 ,11.2 ,30.8 ,39.8 ,30.1 ,18.7 ,10.4 ,3.4 ,,,,,
2005,,,19.4 ,0.7 ,18.7 ,11.2 ,30.3 ,38.7 ,29.5 ,18.2 ,10.0 ,3.3 ,,,,,
2004,,,19.7 ,0.7 ,19.5 ,11.6 ,31.3 ,39.8 ,30.0 ,18.3 ,9.8 ,3.3 ,,,,,
2003,,,20.2 ,0.7 ,20.4 ,12.4 ,32.5 ,41.4 ,30.7 ,18.6 ,9.8 ,3.4 ,,,,,
2002,,,20.5 ,0.7 ,21.1 ,12.7 ,33.8 ,42.7 ,31.3 ,18.8 ,9.8 ,3.4 ,,,,,
2001,,,20.9 ,0.8 ,22.5 ,13.4 ,36.0 ,44.4 ,31.5 ,18.7 ,9.7 ,3.3 ,,,,,
2000,,,21.3 ,0.9 ,24.0 ,14.5 ,37.7 ,46.3 ,31.6 ,18.7 ,9.7 ,3.2 ,,,,,
1999,,,21.4 ,0.9 ,24.7 ,15.2 ,38.6 ,46.4 ,31.7 ,18.3 ,9.7 ,3.2 ,,,,,
1998,,,21.5 ,1.0 ,25.8 ,16.4 ,40.0 ,47.0 ,31.7 ,17.9 ,9.5 ,3.2 ,,,,,
1997,,,21.9 ,1.0 ,27.1 ,17.2 ,42.6 ,48.1 ,31.9 ,17.7 ,9.5 ,3.1 ,,,,,
1996,,,22.4 ,1.1 ,28.6 ,18.6 ,44.0 ,49.3 ,32.1 ,17.7 ,9.7 ,3.2 ,,,,,
1995,,,22.5 ,1.2 ,29.4 ,19.5 ,44.8 ,49.1 ,31.5 ,17.5 ,9.7 ,3.2 ,,,,,
1994,,,23.7 ,1.3 ,31.6 ,21.0 ,47.8 ,51.9 ,32.1 ,18.1 ,9.9 ,3.2 ,,,,,
1993,,,25.0 ,1.4 ,33.9 ,22.2 ,51.2 ,54.9 ,33.2 ,18.6 ,10.2 ,3.2 ,,,,,
1992,,,25.7 ,1.4 ,35.2 ,22.9 ,53.3 ,55.9 ,33.5 ,18.9 ,10.3 ,3.2 ,,,,,
1991,,,26.2 ,1.4 ,37.4 ,24.2 ,55.7 ,56.4 ,33.4 ,19.0 ,10.4 ,3.0 ,,,,,
1990,,,27.4 ,1.5 ,40.3 ,26.5 ,57.9 ,56.7 ,33.9 ,19.7 ,10.8 ,3.2 ,,,,,
Fetal losses 5/:,,,,,,,,,,,,,,,,,
2010,,,16.9 ,0.2 ,10.0 ,6.5 ,14.9 ,20.3 ,22.8 ,22.7 ,21.0 ,5.0 ,,,,,
2009,,,17.4 ,0.2 ,11.1 ,7.3 ,16.4 ,21.6 ,23.4 ,22.9 ,21.1 ,4.9 ,,,,,
2008,,,17.9 ,0.2 ,11.8 ,7.9 ,17.5 ,22.9 ,24.2 ,23.3 ,21.5 ,4.8 ,,,,,
2007,,,18.2 ,0.2 ,12.2 ,8.1 ,18.4 ,23.7 ,24.8 ,23.6 ,21.8 ,4.7 ,,,,,
2006,,,18.1 ,0.2 ,12.1 ,8.1 ,18.3 ,23.7 ,24.8 ,23.2 ,21.8 ,4.6 ,,,,,
2005,,,17.6 ,0.2 ,11.7 ,7.9 ,17.5 ,22.9 ,24.5 ,22.6 ,21.2 ,4.4 ,,,,,
2004,,,17.6 ,0.2 ,11.9 ,8.1 ,17.6 ,22.9 ,25.1 ,22.0 ,21.2 ,4.4 ,,,,,
2003,,,17.4 ,0.2 ,12.1 ,8.3 ,17.8 ,23.0 ,24.5 ,22.3 ,20.1 ,4.2 ,,,,,
2002,,,17.1 ,0.3 ,12.6 ,8.7 ,18.5 ,23.1 ,24.1 ,21.6 ,19.1 ,4.0 ,,,,,
2001,,,17.1 ,0.3 ,13.3 ,9.2 ,19.4 ,23.7 ,23.9 ,21.4 ,18.6 ,3.9 ,,,,,
2000,,,17.3 ,0.3 ,14.1 ,10.1 ,20.0 ,24.6 ,23.9 ,21.2 ,18.2 ,3.8 ,,,,,
1999,,,16.5 ,0.3 ,13.5 ,9.8 ,18.9 ,23.5 ,23.0 ,19.8 ,17.2 ,3.6 ,,,,,
1998,,,16.4 ,0.3 ,14.0 ,10.4 ,19.4 ,23.6 ,22.8 ,19.3 ,16.8 ,3.5 ,,,,,
1997,,,16.2 ,0.4 ,14.3 ,10.9 ,19.6 ,23.3 ,22.4 ,18.8 ,16.2 ,3.4 ,,,,,
1996,,,16.3 ,0.4 ,15.0 ,11.6 ,20.3 ,23.4 ,22.5 ,18.6 ,15.9 ,3.2 ,,,,,
1995,,,16.3 ,0.5 ,15.7 ,12.3 ,21.0 ,23.3 ,22.6 ,18.4 ,15.5 ,3.1 ,,,,,
1994,,,16.6 ,0.5 ,16.3 ,12.9 ,21.6 ,23.7 ,23.0 ,18.2 ,15.2 ,3.0 ,,,,,
1993,,,16.7 ,0.5 ,16.5 ,13.0 ,21.8 ,24.2 ,23.5 ,18.1 ,14.9 ,2.9 ,,,,,
1992,,,17.0 ,0.5 ,16.8 ,13.0 ,22.4 ,24.7 ,24.0 ,18.1 ,14.7 ,2.8 ,,,,,
1991,,,17.1 ,0.5 ,17.2 ,13.4 ,22.5 ,25.1 ,24.3 ,18.0 ,14.5 ,2.6 ,,,,,
1990,,,17.4 ,0.5 ,16.6 ,13.0 ,21.2 ,25.3 ,24.9 ,18.3 ,14.4 ,2.6 ,,,,,
"Table. Pregnancy, live-birth, induced-abortion, and fetal-loss rates, by age and race and Hispanic origin of",,,,,,,,,,,,,,,,,
"woman: United States, 1990–2010",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"[Rates are pregnancy outcomes per 1,000 women in specified group, estimated as of April 1 for 1990, 2000, and 2010 and as of",,,,,,,,,,,,,,,,,
July 1 for all other years],,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Pregnancy outcome, race, and",,,,,,Age of woman,,,,,,,,,,,
Hispanic origin  and year,,,,,,15-19 years,,,,,,,,,,,
,,,,Under 15,,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,,,,
,,,Total 1/,years 2/,Total,years,years,years,years,years,years,years 3/,,,,,
White non-Hispanic,,,,,,,,,,,,,,,,,
All pregnancies:,,,,,,,,,,,,,,,,,
2010,,,84.1 ,0.4 ,38.8 ,18.3 ,67.4 ,111.5 ,143.7 ,130.9 ,70.1 ,17.0 ,,,,,
2009,,,85.7 ,0.5 ,42.6 ,20.5 ,73.5 ,118.1 ,145.3 ,130.6 ,70.7 ,16.7 ,,,,,
2008,,,87.5 ,0.5 ,44.8 ,21.6 ,78.0 ,124.2 ,149.8 ,132.5 ,71.9 ,16.2 ,,,,,
2007,,,88.1 ,0.5 ,45.9 ,22.3 ,81.3 ,127.2 ,152.6 ,133.2 ,73.4 ,15.7 ,,,,,
2006,,,87.3 ,0.5 ,45.4 ,22.4 ,80.4 ,127.5 ,152.9 ,131.4 ,74.3 ,15.5 ,,,,,
2005,,,85.4 ,0.6 ,44.6 ,21.9 ,79.0 ,124.1 ,151.9 ,129.3 ,73.0 ,15.1 ,,,,,
2004,,,85.3 ,0.6 ,45.8 ,22.8 ,80.1 ,124.4 ,152.7 ,129.3 ,71.5 ,15.0 ,,,,,
2003,,,85.5 ,0.6 ,47.7 ,24.2 ,82.9 ,126.7 ,153.5 ,129.7 ,69.1 ,14.7 ,,,,,
2002,,,83.9 ,0.6 ,49.6 ,25.4 ,86.3 ,127.6 ,150.9 ,125.7 ,65.3 ,14.0 ,,,,,
2001,,,84.4 ,0.6 ,52.9 ,27.3 ,91.4 ,131.9 ,150.1 ,124.9 ,63.7 ,13.6 ,,,,,
2000,,,85.7 ,0.7 ,56.9 ,30.2 ,96.4 ,138.1 ,150.4 ,123.7 ,62.5 ,13.4 ,,,,,
1999,,,84.8 ,0.8 ,59.0 ,32.4 ,98.2 ,137.7 ,148.9 ,119.9 ,60.3 ,12.9 ,,,,,
1998,,,85.2 ,0.9 ,61.8 ,35.4 ,101.8 ,139.8 ,148.3 ,117.3 ,59.1 ,12.6 ,,,,,
1997,,,84.8 ,1.0 ,64.5 ,37.9 ,106.1 ,140.0 ,146.0 ,114.0 ,57.0 ,12.0 ,,,,,
1996,,,85.6 ,1.0 ,67.2 ,40.3 ,109.1 ,141.1 ,146.6 ,112.3 ,56.0 ,11.7 ,,,,,
1995,,,86.6 ,1.2 ,70.6 ,43.0 ,113.7 ,142.4 ,147.4 ,110.9 ,54.4 ,11.2 ,,,,,
1994,,,88.0 ,1.2 ,73.4 ,44.7 ,117.4 ,144.9 ,149.2 ,109.7 ,53.4 ,10.9 ,,,,,
1993,,,90.0 ,1.3 ,75.9 ,46.0 ,120.8 ,149.5 ,152.3 ,108.7 ,52.2 ,10.4 ,,,,,
1992,,,92.0 ,1.3 ,78.3 ,46.6 ,125.3 ,152.8 ,155.6 ,108.2 ,51.5 ,10.0 ,,,,,
1991,,,94.4 ,1.3 ,83.8 ,50.1 ,130.4 ,157.6 ,158.9 ,108.2 ,51.3 ,9.3 ,,,,,
1990,,,98.3 ,1.4 ,86.8 ,52.5 ,129.8 ,162.1 ,164.0 ,110.9 ,51.4 ,9.4 ,,,,,
Live births:,,,,,,,,,,,,,,,,,
2010,,,58.7 ,0.2 ,23.5 ,10.0 ,42.5 ,74.9 ,105.8 ,99.9 ,44.1 ,9.9 ,,,,,
2009,,,59.6 ,0.2 ,25.7 ,11.0 ,46.2 ,79.2 ,107.1 ,99.7 ,44.4 ,9.8 ,,,,,
2008,,,60.5 ,0.2 ,26.7 ,11.6 ,48.6 ,82.8 ,109.7 ,100.8 ,45.2 ,9.6 ,,,,,
2007,,,61.0 ,0.2 ,27.2 ,11.9 ,50.4 ,85.1 ,112.0 ,101.5 ,46.3 ,9.3 ,,,,,
2006,,,60.3 ,0.2 ,26.7 ,11.8 ,49.4 ,85.1 ,112.2 ,100.0 ,46.8 ,9.1 ,,,,,
2005,,,59.0 ,0.2 ,26.0 ,11.5 ,48.0 ,82.7 ,111.7 ,98.4 ,46.0 ,8.9 ,,,,,
2004,,,58.9 ,0.2 ,26.7 ,12.0 ,48.6 ,83.0 ,112.1 ,98.3 ,45.1 ,8.8 ,,,,,
2003,,,58.9 ,0.2 ,27.4 ,12.4 ,50.0 ,84.1 ,112.7 ,98.4 ,43.5 ,8.6 ,,,,,
2002,,,57.6 ,0.2 ,28.6 ,13.1 ,52.0 ,84.7 ,110.3 ,95.0 ,40.9 ,8.1 ,,,,,
2001,,,57.7 ,0.3 ,30.3 ,14.0 ,54.7 ,87.0 ,109.6 ,94.3 ,39.8 ,7.9 ,,,,,
2000,,,58.5 ,0.3 ,32.6 ,15.8 ,57.5 ,91.2 ,109.4 ,93.2 ,38.8 ,7.7 ,,,,,
1999,,,57.7 ,0.3 ,34.1 ,17.1 ,59.4 ,90.6 ,108.6 ,89.5 ,37.3 ,7.3 ,,,,,
1998,,,57.6 ,0.3 ,35.3 ,18.3 ,60.9 ,91.2 ,107.4 ,87.2 ,36.4 ,7.1 ,,,,,
1997,,,56.8 ,0.4 ,36.0 ,19.3 ,62.1 ,90.0 ,104.8 ,84.3 ,34.8 ,6.8 ,,,,,
1996,,,57.1 ,0.4 ,37.6 ,20.6 ,64.0 ,90.1 ,104.9 ,82.8 ,33.9 ,6.5 ,,,,,
1995,,,57.5 ,0.4 ,39.3 ,22.0 ,66.2 ,90.2 ,105.1 ,81.5 ,32.8 ,6.1 ,,,,,
1994,,,58.2 ,0.5 ,40.4 ,22.7 ,67.6 ,90.9 ,106.6 ,80.2 ,32.0 ,5.9 ,,,,,
1993,,,58.9 ,0.5 ,40.7 ,22.7 ,67.7 ,92.2 ,108.2 ,79.0 ,31.0 ,5.6 ,,,,,
1992,,,60.0 ,0.5 ,41.6 ,22.7 ,69.7 ,93.8 ,110.7 ,78.3 ,30.4 ,5.3 ,,,,,
1991,,,60.9 ,0.5 ,43.3 ,23.6 ,70.5 ,95.7 ,112.2 ,77.7 ,30.2 ,4.8 ,,,,,
1990,,,62.8 ,0.5 ,42.6 ,23.3 ,66.9 ,97.9 ,115.3 ,79.2 ,29.9 ,4.8 ,,,,,
Induced abortions:,,,,,,,,,,,,,,,,,
2010,,,9.8 ,0.2 ,8.5 ,4.6 ,14.0 ,19.4 ,13.9 ,9.1 ,5.8 ,2.5 ,,,,,
2009,,,10.2 ,0.2 ,9.6 ,5.3 ,15.5 ,20.8 ,14.0 ,9.1 ,6.1 ,2.4 ,,,,,
2008,,,10.9 ,0.2 ,10.4 ,5.7 ,17.0 ,22.5 ,15.3 ,9.7 ,6.1 ,2.2 ,,,,,
2007,,,10.8 ,0.2 ,10.8 ,6.0 ,18.0 ,22.6 ,15.2 ,9.5 ,6.0 ,2.2 ,,,,,
2006,,,10.9 ,0.2 ,11.0 ,6.2 ,18.4 ,22.9 ,15.3 ,9.5 ,6.3 ,2.2 ,,,,,
2005,,,10.6 ,0.3 ,11.1 ,6.1 ,18.7 ,22.4 ,14.9 ,9.4 ,6.1 ,2.2 ,,,,,
2004,,,10.6 ,0.3 ,11.4 ,6.3 ,19.0 ,22.4 ,15.1 ,9.5 ,5.8 ,2.1 ,,,,,
2003,,,10.9 ,0.3 ,12.3 ,7.2 ,20.1 ,23.3 ,15.3 ,9.8 ,5.9 ,2.2 ,,,,,
2002,,,10.9 ,0.3 ,12.7 ,7.3 ,21.0 ,23.4 ,15.5 ,9.9 ,5.7 ,2.2 ,,,,,
2001,,,11.3 ,0.3 ,13.9 ,8.0 ,22.7 ,24.9 ,15.7 ,10.0 ,5.8 ,2.1 ,,,,,
2000,,,11.7 ,0.3 ,14.8 ,8.5 ,24.1 ,26.0 ,16.2 ,10.2 ,6.0 ,2.2 ,,,,,
1999,,,11.9 ,0.4 ,15.5 ,9.4 ,24.6 ,26.3 ,16.6 ,10.2 ,6.1 ,2.2 ,,,,,
1998,,,12.5 ,0.4 ,16.9 ,10.7 ,26.3 ,27.7 ,17.5 ,10.4 ,6.3 ,2.2 ,,,,,
1997,,,13.2 ,0.5 ,18.6 ,11.8 ,29.1 ,29.4 ,18.3 ,10.7 ,6.4 ,2.2 ,,,,,
1996,,,13.6 ,0.5 ,19.3 ,12.6 ,29.8 ,30.3 ,18.8 ,10.8 ,6.7 ,2.3 ,,,,,
1995,,,14.2 ,0.6 ,20.5 ,13.4 ,31.6 ,31.6 ,19.3 ,11.1 ,6.7 ,2.3 ,,,,,
1994,,,14.8 ,0.6 ,21.8 ,14.1 ,33.7 ,33.2 ,19.2 ,11.4 ,6.7 ,2.3 ,,,,,
1993,,,16.1 ,0.6 ,24.0 ,15.4 ,36.9 ,36.2 ,20.4 ,11.9 ,7.1 ,2.3 ,,,,,
1992,,,16.7 ,0.7 ,25.3 ,16.0 ,38.9 ,37.5 ,20.8 ,12.2 ,7.2 ,2.3 ,,,,,
1991,,,18.1 ,0.7 ,28.7 ,18.3 ,43.0 ,40.0 ,22.2 ,13.0 ,7.5 ,2.2 ,,,,,
1990,,,19.7 ,0.8 ,32.5 ,21.1 ,46.8 ,41.9 ,23.4 ,13.8 ,7.9 ,2.4 ,,,,,
Fetal losses 5/:,,,,,,,,,,,,,,,,,
2010,,,15.5 ,0.1 ,6.7 ,3.7 ,10.9 ,17.2 ,24.0 ,21.9 ,20.1 ,4.5 ,,,,,
2009,,,15.8 ,0.1 ,7.3 ,4.1 ,11.8 ,18.2 ,24.3 ,21.8 ,20.2 ,4.5 ,,,,,
2008,,,16.1 ,0.1 ,7.7 ,4.3 ,12.4 ,19.0 ,24.9 ,22.1 ,20.6 ,4.4 ,,,,,
2007,,,16.3 ,0.1 ,7.8 ,4.4 ,12.9 ,19.5 ,25.4 ,22.2 ,21.1 ,4.2 ,,,,,
2006,,,16.1 ,0.1 ,7.7 ,4.4 ,12.6 ,19.5 ,25.5 ,21.9 ,21.3 ,4.2 ,,,,,
2005,,,15.8 ,0.1 ,7.5 ,4.3 ,12.3 ,19.0 ,25.3 ,21.5 ,21.0 ,4.0 ,,,,,
2004,,,15.7 ,0.1 ,7.7 ,4.5 ,12.5 ,19.0 ,25.4 ,21.5 ,20.5 ,4.0 ,,,,,
2003,,,15.7 ,0.1 ,7.9 ,4.7 ,12.8 ,19.3 ,25.6 ,21.5 ,19.8 ,3.9 ,,,,,
2002,,,15.4 ,0.1 ,8.3 ,4.9 ,13.3 ,19.4 ,25.0 ,20.8 ,18.7 ,3.7 ,,,,,
2001,,,15.4 ,0.1 ,8.8 ,5.2 ,14.0 ,20.0 ,24.9 ,20.7 ,18.1 ,3.6 ,,,,,
2000,,,15.6 ,0.1 ,9.5 ,5.9 ,14.7 ,20.9 ,24.8 ,20.4 ,17.7 ,3.5 ,,,,,
1999,,,15.2 ,0.1 ,9.3 ,5.9 ,14.2 ,20.8 ,23.7 ,20.2 ,16.9 ,3.3 ,,,,,
1998,,,15.1 ,0.1 ,9.6 ,6.4 ,14.6 ,20.9 ,23.5 ,19.7 ,16.5 ,3.2 ,,,,,
1997,,,14.9 ,0.1 ,9.9 ,6.7 ,14.9 ,20.6 ,22.9 ,19.0 ,15.8 ,3.1 ,,,,,
1996,,,14.9 ,0.1 ,10.3 ,7.2 ,15.3 ,20.6 ,22.9 ,18.7 ,15.4 ,2.9 ,,,,,
1995,,,14.9 ,0.2 ,10.8 ,7.6 ,15.8 ,20.6 ,23.0 ,18.4 ,14.9 ,2.8 ,,,,,
1994,,,15.0 ,0.2 ,11.2 ,7.9 ,16.2 ,20.8 ,23.3 ,18.1 ,14.6 ,2.7 ,,,,,
1993,,,15.1 ,0.2 ,11.2 ,7.9 ,16.2 ,21.1 ,23.7 ,17.8 ,14.1 ,2.5 ,,,,,
1992,,,15.2 ,0.2 ,11.4 ,7.9 ,16.7 ,21.5 ,24.2 ,17.7 ,13.8 ,2.4 ,,,,,
1991,,,15.4 ,0.2 ,11.8 ,8.2 ,16.9 ,21.9 ,24.5 ,17.5 ,13.7 ,2.2 ,,,,,
1990,,,15.8 ,0.2 ,11.6 ,8.1 ,16.0 ,22.4 ,25.2 ,17.9 ,13.6 ,2.2 ,,,,,
"Table. Pregnancy, live-birth, induced-abortion, and fetal-loss rates, by age and race and Hispanic origin of",,,,,,,,,,,,,,,,,
"woman: United States, 1990–2010",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"[Rates are pregnancy outcomes per 1,000 women in specified group, estimated as of April 1 for 1990, 2000, and 2010 and as of",,,,,,,,,,,,,,,,,
July 1 for all other years],,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Pregnancy outcome, race, and",,,,,,Age of woman,,,,,,,,,,,
Hispanic origin  and year,,,,,,15-19 years,,,,,,,,,,,
,,,,Under 15,,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,,,,
,,,Total 1/,years 2/,Total,years,years,years,years,years,years,years 3/,,,,,
Black non-Hispanic,,,,,,,,,,,,,,,,,
All pregnancies:,,,,,,,,,,,,,,,,,
2010,,,135.1 ,3.2 ,103.4 ,59.8 ,165.1 ,239.0 ,202.6 ,151.7 ,79.6 ,21.9 ,,,,,
2009,,,140.2 ,3.3 ,113.7 ,67.3 ,179.9 ,250.7 ,211.2 ,154.1 ,79.8 ,21.3 ,,,,,
2008,,,144.3 ,3.8 ,121.6 ,72.8 ,193.8 ,261.6 ,216.2 ,157.7 ,81.1 ,21.3 ,,,,,
2007,,,144.2 ,4.1 ,123.5 ,74.4 ,200.9 ,264.3 ,218.0 ,155.5 ,80.4 ,21.0 ,,,,,
2006,,,145.9 ,4.1 ,128.0 ,80.6 ,204.5 ,267.9 ,222.6 ,155.5 ,80.8 ,20.5 ,,,,,
2005,,,140.0 ,4.4 ,122.1 ,75.2 ,197.3 ,257.6 ,216.4 ,148.2 ,77.3 ,20.4 ,,,,,
2004,,,140.2 ,4.4 ,126.7 ,79.7 ,200.2 ,259.9 ,216.2 ,146.1 ,75.7 ,19.7 ,,,,,
